input,max_epsilon,time
"[[0.29678976842885174, 4.151230981476921, 2.3736604689144154, 0.013362139553525868], [0.4625336778934632, 1.9150263033407304, 3.0866089387864464, 0.0982812882171348], [0.013762844255879305, 0.8045576371420787, 3.695402784205315, 1.084713099431598], [0.20163338661673247, 3.955027755034161, 4.289665842236459, 0.5059564894016259]]",0.0005,1.45090913772583
"[[0.6755489561143837, 4.815915453270438, 4.945834696789063, 0.6718690728181068], [0.2320855897682281, 1.7055221992235077, 4.544820430132632, 0.4941688821267557], [0.03451181471314867, 0.31613547177461154, 2.9569932594594155, 2.6790075328490097], [0.42596460692645116, 3.992533156678085, 4.5070280764953115, 2.3744090706085723]]",0.0005,25.31260108947754
"[[0.7363272325746585, 3.4482808227170936, 3.4205875895523934, 0.16967579179536796], [0.4356543841394501, 2.1455438552545263, 3.242339806303595, 0.09681817021054169], [0.003626778287062023, 0.5568639951138794, 2.800936387550636, 1.0750982275912317], [0.13514263072243365, 2.9102585362899687, 3.396299047782057, 0.9626323694115935]]",0.0005,1.4358878135681152
"[[0.11897845572195948, 2.8628693916430885, 3.7585314845462765, 0.23710879210859506], [0.12402809573091121, 2.154747211450025, 3.1286641914167572, 0.16034931845035913], [0.016014699861723932, 1.3023799915003107, 3.2780872438404436, 0.4597129087033936], [0.16617929339815246, 2.9665638278542197, 3.3578150769298913, 2.0119546308062124]]",0.0005,1.4324193000793457
"[[1.0958789053095064, 5.247397808206542, 2.8453613603338814, 0.025079844956305268], [0.5058986335653071, 3.337319776247988, 3.890633291241644, 0.1348496896540634], [0.12250007768274244, 1.4501318432970054, 3.6159860044195584, 1.255049358374535], [0.5062157508562637, 4.675108729557155, 4.088711551479783, 1.203250437042852]]",0.0005,363.40052127838135
mean,0.0005±0.0,78.60646772384644
