input,max_epsilon,time
"[[0.04394527639809738, 3.3853682024029395, 3.5197190729312107, 0.08475714119981471], [0.07209719821350397, 3.7358321353174913, 3.8235070529440573, 0.08260808823083826], [0.05556864635401293, 3.5197791691777134, 3.6950458360757454, 0.06833315873838637], [0.08147625043739078, 3.8048840086639912, 4.016471113126742, 0.1058437704172584]]",0.008,759.0830001831055
"[[0.13288588413138228, 2.6890636655730664, 5.183430623421166, 0.5060951377748973], [0.6746750098514556, 2.437479501846874, 5.408278844287709, 0.5997932734479143], [0.021093084385315968, 0.3085703481802808, 5.1048865281141635, 0.31705331086220817], [6.94008815133225e-05, 0.5697064826337055, 5.220533058310437, 0.5578227024656554]]",0.004,643.6635324954987
"[[0.0037832463331270868, 1.657599271249066, 5.281249383124837, 0.4034271460104358], [0.1523168400327204, 3.9335262888097695, 4.713489473768293, 0.2025938060465272], [0.9440082560058949, 5.77592724855694, 4.054814535383774, 0.11037953108685508], [0.34086529795231096, 2.972455728638711, 4.64641015242881, 0.21458191265411905]]",0.0026,408.243670463562
"[[0.0660961776426395, 3.3478230157491478, 0.9585686632498778, 0.00018689046173920332], [0.1819885040974068, 4.423522280627024, 1.2989805140580515, 0.000284960668526099], [0.11872116226605023, 3.416167853342404, 1.8221726646204877, 0.22512359791819095], [0.19918990367656886, 4.6445932050697385, 5.16812442733743, 2.93601672850274]]",0.0054,489.1217818260193
"[[0.10584654168400812, 4.01802299909801, 5.2054729525387655, 0.3450056968380664], [0.08224615702289652, 3.8208771389432465, 5.45274890678245, 0.2881065547313423], [0.33818208143646666, 4.9746799797719, 4.07414827290273, 0.11370860925457091], [0.5445048098774659, 4.806601492653745, 3.0726470480485806, 0.04497907132634586]]",0.0041,551.6696021556854
mean,0.00482±0.0020351904087824316,570.3563174247741
