input,max_epsilon
"[[0.10985475185434279, 3.338640279266258, 0.5311021619429019, 7.216531286606648e-05], [0.289904051594014, 3.6338968146516923, 0.32649157848231153, 0.041947176991879505], [0.2878557922507953, 4.445724697071735, 3.5373081163854914, 1.9325980237973202], [0.1075918590292781, 3.38325520697719, 3.362134853724293, 3.3572592892983444]]",0.0044
"[[0.0927200570793111, 3.6122102570592114, 0.8994113645295438, 0.0002498263289616149], [0.21072803474769997, 4.219334004192285, 2.3581953086037704, 0.43713347015335874], [0.2774078039236985, 4.541886441289822, 2.9704881473437252, 3.293725642203232], [0.1391071802375252, 3.7400876379854218, 4.051774410752779, 3.3135314277315118]]",0.0014
"[[0.07723454326450616, 3.0653311103383105, 0.5218619251528357, 7.221999604188826e-05], [0.35062613213721305, 4.06920347074742, 1.09460831804331, 0.09068034082406855], [0.8578669468992569, 4.3963284420881905, 3.288855687190274, 1.8921813279998536], [0.1541242968125886, 3.383954996560295, 3.990529688147692, 1.5355983142011898]]",0.0021
"[[0.2243299784715463, 3.8093338240428314, 0.33058684506892577, 2.3133627171107498e-05], [1.1635723863001846, 3.0423254291325232, 0.2225197504249284, 0.028026688681332304], [1.3309684759937912, 4.572678566594787, 3.8764289243073895, 1.4562804904016253], [0.34133961136798713, 4.464008035092536, 4.205103553520297, 1.6144976469482184]]",0.0017
"[[0.14263317474524806, 3.7709351194170377, 1.3796951722872888, 0.0003173647537227277], [0.8391797664558003, 4.242098599896977, 0.9769984212192562, 0.05817658996731469], [1.4177705774245308, 5.48086775623955, 4.181449916260276, 1.8946632033794935], [0.2465068939763609, 4.0954395118350995, 4.462197032879992, 2.4993137034929385]]",0.0016
mean,0.0022400000000000002±0.0012340988615179905
